CWPP Name (HIDE),CWPP Name (CLICK FOR PDF),Jurisdiction Level,County,State,Year Published,Update/Revision of Former CWPP,Prepared by Private Consultants,CWPP Boundary Area (Square Kilometers),Source of CWPP Boundary
Elk Ridge Ranches,<a href='https://drive.google.com/file/d/1WJhLdjd4nbpwMhPyChhu0w5VPAhR77Q7/view?usp=drivesdk' target='_blank'>Elk Ridge Ranches</a>,Community,Sanpete,UT,2020,0,0,7.06,CWPP
Fairview Ranchos,<a href='https://drive.google.com/file/d/1cC5wPC9QRIbvnGxiEJQLSH2iNrBfdJXO/view?usp=drivesdk' target='_blank'>Fairview Ranchos</a>,Community,Sanpete,UT,2020,0,0,1.7,CWPP
Forest Home,<a href='https://drive.google.com/file/d/1_5P3jz_D3IhK1iAlm15KdJADCNXC--fc/view?usp=drivesdk' target='_blank'>Forest Home</a>,Community,Salt Lake,UT,2020,0,0,22.02,CWPP
Grove Street,<a href='https://drive.google.com/file/d/1BJsxxbJNdoismj0Gqy90QzJSOHtoKtcI/view?usp=drivesdk' target='_blank'>Grove Street</a>,Community,Sonoma,CA,2020,0,0,12.1,CWPP
Hi-Country Estates 1,<a href='https://drive.google.com/file/d/1K0Rd736ta-SZCMV3GZVMU-AMz1IBgg8G/view?usp=drivesdk' target='_blank'>Hi-Country Estates 1</a>,Community,Salt Lake,UT,2020,0,0,4.98,CWPP
Horseshoe Mountain Ranch Estates,<a href='https://drive.google.com/file/d/1iCXaAI0c9R_FvRlyg1TcxgxJNgBylGF4/view?usp=drivesdk' target='_blank'>Horseshoe Mountain Ranch Estates</a>,Community,Sanpete,UT,2020,0,0,3.77,CWPP
Indian Ridge,<a href='https://drive.google.com/file/d/15dTQGlLexSW_0mOMZtoD_U4P8BIMvLn1/view?usp=drivesdk' target='_blank'>Indian Ridge</a>,Community,Sanpete,UT,2020,0,0,6.26,CWPP
Legacy Mountain,<a href='https://drive.google.com/file/d/1qPXMrMmM9mxu1LI4taG23ai4Fk-Q4wDj/view?usp=drivesdk' target='_blank'>Legacy Mountain</a>,Community,Sanpete,UT,2020,0,0,0.78,CWPP
Mapleton,<a href='https://drive.google.com/file/d/1iApa9EC6S6oEau02JGRrZ0b7d-QDQkyp/view?usp=drivesdk' target='_blank'>Mapleton</a>,Community,Utah,UT,2020,1,0,29.22,CWPP
Marin,<a href='https://drive.google.com/file/d/18eGT9T-PPmPih3R-kwad9IUxyMyK1U_m/view?usp=drivesdk' target='_blank'>Marin </a>,County,Marin,CA,2020,1,1,2145,"US Census Bureau, 2018 Cartographic Boundary Files"
Mill Creek,<a href='https://drive.google.com/file/d/1EnLt4LSb2wJOk0RyY3fMkhAk5wcePX6I/view?usp=drivesdk' target='_blank'>Mill Creek</a>,Community,Sonoma,CA,2020,0,0,84.58,CWPP
North Fork-Sundance,<a href='https://drive.google.com/file/d/1nP-j4u-3ZhIl1bM9Nu4TVk8q-KlfLCXw/view?usp=drivesdk' target='_blank'>North Fork-Sundance</a>,Community,Utah,UT,2020,0,0,33.52,CWPP
Occidental,<a href='https://drive.google.com/file/d/10BOXL5BV_Ozf_dNPYwxUqHYs5gtg0q3N/view?usp=drivesdk' target='_blank'>Occidental</a>,Community,Sonoma,CA,2020,0,0,74.77,CWPP
Panorama Woods,<a href='https://drive.google.com/file/d/13aFCnEBNmyvkYHks2xE52D8Xe4jTHlGM/view?usp=drivesdk' target='_blank'>Panorama Woods</a>,Community,Sanpete,UT,2020,0,0,25.68,CWPP
Payson,<a href='https://drive.google.com/file/d/1rSMCk_O_BmPvsZhldMM0ynl22blRXYWb/view?usp=drivesdk' target='_blank'>Payson</a>,Community,Utah,UT,2020,0,0,104.31,CWPP
Pine Creek Ranches,<a href='https://drive.google.com/file/d/15uj6rKtAbl3CRPW0ESjAMYj41uhEGpTQ/view?usp=drivesdk' target='_blank'>Pine Creek Ranches</a>,Community,Sanpete,UT,2020,0,0,3.84,CWPP
Pleasant Grove,<a href='https://drive.google.com/file/d/1Gzi8vQqBdjEdQbHkligyuxft03IlnYU0/view?usp=drivesdk' target='_blank'>Pleasant Grove</a>,Community,Utah,UT,2020,0,0,23.9,CWPP
Rolling Hills,<a href='https://drive.google.com/file/d/1GabXlysXrQFRpbRtxmtyERJT0aXnvd4j/view?usp=drivesdk' target='_blank'>Rolling Hills</a>,Community,Los Angeles,CA,2020,0,0,7.74,"US Census Bureau, 2016 TIGER Place"
Santa Rosa,<a href='https://drive.google.com/file/d/1r3pD-66iJkH_CkaXlkJNZqjBxeumVKbq/view?usp=drivesdk' target='_blank'>Santa Rosa</a>,Community,Sonoma,CA,2020,0,1,292.91,CWPP
Santaquin,<a href='https://drive.google.com/file/d/1vRgdqQ7xIextlXUHuOscRP7VKzTPH_WK/view?usp=drivesdk' target='_blank'>Santaquin</a>,Community,Utah Juab,UT,2020,0,0,127.3,CWPP
Skyline Mountain Resort,<a href='https://drive.google.com/file/d/1EX1w9rn3cys_apRfpkwRFz1jUGVRwFt9/view?usp=drivesdk' target='_blank'>Skyline Mountain Resort</a>,Community,Sanpete,UT,2020,0,0,12.19,CWPP
South Rim,<a href='https://drive.google.com/file/d/1InzyO90OYR9P_rOby3jhS_MwQzdt47uL/view?usp=drivesdk' target='_blank'>South Rim</a>,Community,Tooele,UT,2020,0,0,23.16,CWPP
Stockton,<a href='https://drive.google.com/file/d/1FWYfcEEntRinSWtfiDVPjt4AmcMrXYNc/view?usp=drivesdk' target='_blank'>Stockton</a>,Community,Tooele,UT,2020,0,0,19.73,CWPP
Tri-County Regional,<a href='https://drive.google.com/file/d/1FqaaYszVcGQTaQH6eQIVMwnYMtAGlOBZ/view?usp=drivesdk' target='_blank'>Tri-County Regional</a>,County,"Broadwater, Jefferson, Lewis and Clark",MT,2020,0,0,16559.96,CWPP
Trinity,<a href='https://drive.google.com/file/d/1gFs52fXuV_US51LDWOqgFhmDI_ojkpi0/view?usp=drivesdk' target='_blank'>Trinity</a>,County,Trinity,CA,2020,1,0,8307.68,"US Census Bureau, 2018 Cartographic Boundary Files"
Whispering Pines 3,<a href='https://drive.google.com/file/d/1UzHrFs4_xdNGR9uoLEpdXTdA9DjfNw_G/view?usp=drivesdk' target='_blank'>Whispering Pines 3</a>,Community,Sanpete,UT,2020,0,0,1.39,CWPP
Willow Glen,<a href='https://drive.google.com/file/d/1PlJFAswf38M52HRX-4RsvMYzvEDTv-QY/view?usp=drivesdk' target='_blank'>Willow Glen</a>,Community,Sanpete,UT,2020,0,0,1.62,CWPP
American Fork,<a href='https://drive.google.com/file/d/18ddyY5t3Sa2AlkQEQe0ahs3-ox2REHYc/view?usp=drivesdk' target='_blank'>American Fork</a>,Community,Utah,UT,2019,1,0,24.94,CWPP
Bluff,<a href='https://drive.google.com/file/d/1LUHeyd3OnKNg9KEdfDsXtduQ0eosmMxE/view?usp=drivesdk' target='_blank'>Bluff</a>,Community,San Juan,UT,2019,1,0,99.92,CWPP
Burney Basin,<a href='https://drive.google.com/file/d/1-CcqznWHH923ZUwhcbs3Lvs0BlJX3rb0/view?usp=drivesdk' target='_blank'>Burney Basin</a>,Community,Shasta,CA,2019,1,0,495.51,CWPP
Campo Lake Morena,<a href='https://drive.google.com/file/d/13huflT4VzCHncfTvpgOJ5x9UXIzACHtI/view?usp=drivesdk' target='_blank'>Campo Lake Morena</a>,Community,San Diego,CA,2019,0,0,222.88,CWPP
Chelan,<a href='https://drive.google.com/file/d/10HBQzc7TlImuzJb0QLFL8vsakKoBtrT9/view?usp=drivesdk' target='_blank'>Chelan </a>,County,Chelan,WA,2019,0,1,7755.39,"US Census Bureau, 2018 Cartographic Boundary Files"
Contra Costa,<a href='https://drive.google.com/file/d/1kXf6vjEIv_jWhnDVQ24O_yX8caJQ5DiU/view?usp=drivesdk' target='_blank'>Contra Costa </a>,County,Contra Costa,CA,2019,1,0,2081.75,"US Census Bureau, 2018 Cartographic Boundary Files"
Cripple Creek,<a href='https://drive.google.com/file/d/1btSyDsXOH_JLPUXhXVOJ2tq3LT6G94u_/view?usp=drivesdk' target='_blank'>Cripple Creek </a>,Community,Teller,CO,2019,0,0,4.13,CWPP
Cuerno Verde Homeowners Association,<a href='https://drive.google.com/file/d/1WKncGRoxcyfqJeOOCHuEsIZ4ys8lZZTY/view?usp=drivesdk' target='_blank'>Cuerno Verde Homeowners Association </a>,Community,Custer,CO,2019,0,0,16.23,CWPP
Eagle River,<a href='https://drive.google.com/file/d/13vB6ENyYDTLi7-zKNve-vGxH8p8W-uDo/view?usp=drivesdk' target='_blank'>Eagle River </a>,Fire Protection District,Eagle,CO,2019,0,1,482.71,Colorado Forest Atlas
Emery,<a href='https://drive.google.com/file/d/1wlBe2dQeKHDymvt0aMn4oPKDw0U43Q2_/view?usp=drivesdk' target='_blank'>Emery</a>,County,Emery,UT,2019,0,1,11581.85,"US Census Bureau, 2018 Cartographic Boundary Files"
Fitch Mountain,<a href='https://drive.google.com/file/d/1juXNQvEKHrG_2g6PHvFK0YkSFB1-er6L/view?usp=drivesdk' target='_blank'>Fitch Mountain</a>,Community,Sonoma,CA,2019,0,0,7.94,CWPP
Fremont,<a href='https://drive.google.com/file/d/1KuEa5FMKqfPuDl0XR0NDb16b8_i99gwg/view?usp=drivesdk' target='_blank'>Fremont </a>,County,Fremont,WY,2019,1,1,4910.64,"US Census Bureau, 2018 Cartographic Boundary Files"
Humboldt,<a href='https://drive.google.com/file/d/1jmHCCEpQX_bL6g9ujugLUz7_WztSDzSg/view?usp=drivesdk' target='_blank'>Humboldt </a>,County,Humboldt,CA,2019,0,1,10495.29,"US Census Bureau, 2018 Cartographic Boundary Files"
Julian,<a href='https://drive.google.com/file/d/1RXt3nS56kxNHsVv0rVWzl48P5_pSC8cZ/view?usp=drivesdk' target='_blank'>Julian </a>,Community,San Diego,CA,2019,1,0,20.42,"US Census Bureau, 2016 TIGER Place"
Lassen,<a href='https://drive.google.com/file/d/1a5tjXNHBfG55a7AQoCaDWQ1Qwrb6e_Yn/view?usp=drivesdk' target='_blank'>Lassen </a>,County,Lassen,CA,2019,1,0,12225.04,"US Census Bureau, 2018 Cartographic Boundary Files"
Lindon,<a href='https://drive.google.com/file/d/17qcrYjdKg9H9PXZ1PPPbXzXpWsJOsypp/view?usp=drivesdk' target='_blank'>Lindon</a>,Community,Utah,UT,2019,0,0,20.22,CWPP
Los Tules at Warner Springs,<a href='https://drive.google.com/file/d/1SaCLnzyAWEI3asgdKe9BIiyE1unlb4LN/view?usp=drivesdk' target='_blank'>Los Tules at Warner Springs</a>,Community,San Diego,CA,2019,0,0,163.55,CWPP
Mapleton,<a href='https://drive.google.com/file/d/1tsBmo6kMZbYt4GxjmI8zmwL229XaIJsG/view?usp=drivesdk' target='_blank'>Mapleton</a>,Community,Utah,UT,2019,0,0,29.22,CWPP
Monterey,<a href='https://drive.google.com/file/d/135WUzclynrnLBSsneBJ73Szdf4ecSdHB/view?usp=drivesdk' target='_blank'>Monterey </a>,County,Monterey,CA,2019,1,1,9767.43,"US Census Bureau, 2018 Cartographic Boundary Files"
Morrow,<a href='https://drive.google.com/file/d/1pkKjlMp1J0_tDhkrZjRC1ARkojYimFdP/view?usp=drivesdk' target='_blank'>Morrow </a>,County,Morrow,OR,2019,1,0,5305.63,Oregon Spatial Data Library
Palomar Mountain,<a href='https://drive.google.com/file/d/1Js8Xr0b0a0Jq5BRT3QTaT8758rv7QQHg/view?usp=drivesdk' target='_blank'>Palomar Mountain</a>,Community,San Diego,CA,2019,1,0,182.88,CWPP
Pine Valley,<a href='https://drive.google.com/file/d/1SEYhWcdT-E3Q-Qv8q5jelefWOljb-81e/view?usp=drivesdk' target='_blank'>Pine Valley </a>,Fire Protection District,San Diego,CA,2019,1,0,182.21,CWPP
Plumas,<a href='https://drive.google.com/file/d/1Q06N1SajHlwRiYXIchQN2CFqTLcUpIao/view?usp=drivesdk' target='_blank'>Plumas</a>,County,Plumas,CA,2019,1,0,6768.79,"US Census Bureau, 2018 Cartographic Boundary Files"
Potrero - Tecate,<a href='https://drive.google.com/file/d/1j6YpstswYB1rst2fe4i66gfyDtq7W5-O/view?usp=drivesdk' target='_blank'>Potrero - Tecate</a>,Community,San Diego,CA,2019,1,0,170.16,CWPP
Rancho de Los Penasquitos,<a href='https://drive.google.com/file/d/1cYJajlxGkb4y_0w6KDvq7ndljLZU1Vn_/view?usp=drivesdk' target='_blank'>Rancho de Los Penasquitos </a>,Community,San Diego,CA,2019,0,0,28.65,Google Maps
Rio Grande County South Area,<a href='https://drive.google.com/file/d/1GsJwmhPQS34nUfC4B_frjQ9EkmVNRYNd/view?usp=drivesdk' target='_blank'>Rio Grande County South Area </a>,Community,Rio Grande,CO,2019,0,0,813.59,CWPP
Salt Lake,<a href='https://drive.google.com/file/d/1CJizin5o_CTspCSymIYKpt3pYgBZW-9S/view?usp=drivesdk' target='_blank'>Salt Lake</a>,County,Salt Lake,UT,2019,0,0,2086.82,CWPP
San Diego,<a href='https://drive.google.com/file/d/1cBLK6S1r3OsNiwA2ee6gO-zTrAlMqtWO/view?usp=drivesdk' target='_blank'>San Diego </a>,County,San Diego,CA,2019,1,0,11721.35,"US Census Bureau, 2018 Cartographic Boundary Files"
San Luis Obispo,<a href='https://drive.google.com/file/d/1q68sKC4ZxekhfmTg9nvbngwDXkaf30EF/view?usp=drivesdk' target='_blank'>San Luis Obispo</a>,County,San Luis Obispo,CA,2019,1,0,9364.13,"US Census Bureau, 2018 Cartographic Boundary Files"
Siskiyou,<a href='https://drive.google.com/file/d/1Ahk9IcNcf8Cnldx8daPrcCFJggtpLvrQ/view?usp=drivesdk' target='_blank'>Siskiyou </a>,County,Siskiyou,CA,2019,1,1,16441.09,"US Census Bureau, 2018 Cartographic Boundary Files"
West Conejos County,<a href='https://drive.google.com/file/d/1yBetCJ-DO-p5gb5kcrBCG6IhwZpJmovh/view?usp=drivesdk' target='_blank'>West Conejos County </a>,Fire Protection District,Conejos,CO,2019,0,0,2002.83,CWPP
Angelus Oaks,<a href='https://drive.google.com/file/d/1sH9Fcz8LWr3lXrnKpZakSUx1AqjY1jfk/view?usp=drivesdk' target='_blank'>Angelus Oaks</a>,Community,San Bernardino,CA,2018,1,1,1.57,Google Maps
Apex Ranch Estates,<a href='https://drive.google.com/file/d/1SeHv4DuO-zwHPz-blN9nP6fzASnqLoFJ/view?usp=drivesdk' target='_blank'>Apex Ranch Estates </a>,Community,El Paso,CO,2018,0,0,0.45,CWPP
Arabian Acres,<a href='https://drive.google.com/file/d/1Tug6hB2hKBgJUVvEMUSwvy-znrRl2O91/view?usp=drivesdk' target='_blank'>Arabian Acres </a>,Community,Teller,CO,2018,0,0,1.5,CWPP
Big Horn,<a href='https://drive.google.com/file/d/1eA4shhMhvO6pZ2iruALrC3P2BH15iznh/view?usp=drivesdk' target='_blank'>Big Horn </a>,County,Big Horn,WY,2018,1,1,12990.96,"US Census Bureau, 2018 Cartographic Boundary Files"
Broadwater-Lewis and Clark-Jefferson,<a href='https://drive.google.com/file/d/1GE7dxVALoGWp4mzRdp0U7hxVimJ9i0lo/view?usp=drivesdk' target='_blank'>Broadwater-Lewis and Clark-Jefferson </a>,County,"Broadwater, Jefferson, Lewis & Clark",MT,2018,0,0,3206.72,"US Census Bureau, 2018 Cartographic Boundary Files"
Burney Basin,<a href='https://drive.google.com/file/d/1n_CXBR_k61y62jbxC20Njg_AvvvzciI1/view?usp=drivesdk' target='_blank'>Burney Basin</a>,Community,Shasta,CA,2018,0,0,495.51,CWPP
Descanso,<a href='https://drive.google.com/file/d/1QcNZas3VC78rGungwGCAxgKZ5s33BlAS/view?usp=drivesdk' target='_blank'>Descanso </a>,Community,San Diego,CA,2018,1,0,220.32,CWPP
Dulzura/Barrett,<a href='https://drive.google.com/file/d/1rkHSL7RE_Xww97Gpsvhwluf_VAwh0kAC/view?usp=drivesdk' target='_blank'>Dulzura/Barrett </a>,Community,San Diego,CA,2018,0,0,236.31,CWPP
East and West Deschutes,<a href='https://drive.google.com/file/d/1Gj-kw2BDFTiSo3kVINBZwf_RuDYjzTr0/view?usp=drivesdk' target='_blank'>East and West Deschutes </a>,County,Deschutes,OR,2018,0,0,5752.46,Oregon Spatial Data Library
Flagstaff,<a href='https://drive.google.com/file/d/1BY76UwZ64L-9y9m_9XVU0IS-mQJE2ngv/view?usp=drivesdk' target='_blank'>Flagstaff</a>,Community,Coconino,AZ,2018,1,0,3580.59,CWPP
Fort Ross,<a href='https://drive.google.com/file/d/10xepWENKFwmdF8xN2WMsbJWFZTqQJR6I/view?usp=drivesdk' target='_blank'>Fort Ross</a>,Fire Protection District,Sonoma,CA,2018,0,0,144.25,CWPP
Greater Sunshine Summit,<a href='https://drive.google.com/file/d/1TDCPJ89qxMkaYUZcalu-fCf6Dl_8cnK6/view?usp=drivesdk' target='_blank'>Greater Sunshine Summit </a>,Community,San Diego,CA,2018,0,0,258.56,CWPP
Greater Valley Center,<a href='https://drive.google.com/file/d/1KcxwT0GyQ1e8wjc1-bUaTi6eyt_bVdFz/view?usp=drivesdk' target='_blank'>Greater Valley Center </a>,Community,San Diego,CA,2018,1,1,302.08,CWPP
Higby Estates,<a href='https://drive.google.com/file/d/1_Ypfirv3mDkbwYjxHFp0I4EJUmN4yHzk/view?usp=drivesdk' target='_blank'>Higby Estates </a>,Community,El Paso,CO,2018,0,0,1.09,CWPP
Julian,<a href='https://drive.google.com/file/d/1kDOzy_u5N8BR8aacS_jsOosf8o_stUG9/view?usp=drivesdk' target='_blank'>Julian </a>,Community,San Diego,CA,2018,0,0,20.42,"US Census Bureau, 2016 TIGER Place"
Kittitas,<a href='https://drive.google.com/file/d/1hz7yF3szNdhTzYmFDZNGHmP-wPhJQRYk/view?usp=drivesdk' target='_blank'>Kittitas </a>,County,Kittitas,WA,2018,0,1,6042.44,"US Census Bureau, 2018 Cartographic Boundary Files"
Lassen,<a href='https://drive.google.com/file/d/11vtX5pTPiMF5wVL-eMLlQPrrg6ORc21l/view?usp=drivesdk' target='_blank'>Lassen </a>,County,Lassen,CA,2018,1,0,12225.04,"US Census Bureau, 2018 Cartographic Boundary Files"
Leavenworth,<a href='https://drive.google.com/file/d/1mgA_bdMGLWPsfIBKOSxzWYiLS2yOurmL/view?usp=drivesdk' target='_blank'>Leavenworth </a>,Community,Chelan,WA,2018,0,0,268.5,CWPP
McKinley,<a href='https://drive.google.com/file/d/1EvSwXSHOn67wuYXxFMWb2ELEpz1Ie0pC/view?usp=drivesdk' target='_blank'>McKinley </a>,County,McKinley,NM,2018,1,0,14130.89,"US Census Bureau, 2018 Cartographic Boundary Files"
Mount Laguna,<a href='https://drive.google.com/file/d/1RHj_wVg502JPaiEquv1mr1Pi3lODflIx/view?usp=drivesdk' target='_blank'>Mount Laguna</a>,Community,San Diego,CA,2018,1,0,84.24,CWPP
Oak to Timberline,<a href='https://drive.google.com/file/d/1Sz-RFDP7-R0A4nF_8kuOISDNK6SuGAsX/view?usp=drivesdk' target='_blank'>Oak to Timberline</a>,Community,Fresno,CA,2018,0,0,1535.65,CWPP
Outer Jamul,<a href='https://drive.google.com/file/d/15rqGQrK3HLnmS2aqsAalDDyo4nmdvuys/view?usp=drivesdk' target='_blank'>Outer Jamul </a>,Community,San Diego,CA,2018,0,0,103.03,CWPP
Penasco Valley,<a href='https://drive.google.com/file/d/1Ibb5IhwAfLXll4j8YE35vlEYTVIPYqit/view?usp=drivesdk' target='_blank'>Penasco Valley </a>,Community,Taos,NM,2018,0,0,101.14,CWPP
Pinal,<a href='https://drive.google.com/file/d/1ICcuCcTBF0R-K9oTSpHSs1Wq0xPghic5/view?usp=drivesdk' target='_blank'>Pinal </a>,County,Pinal,AZ,2018,1,1,13919.23,"US Census Bureau, 2018 Cartographic Boundary Files"
Ramona,<a href='https://drive.google.com/file/d/1gqTQcqVsKf_KQaQ8YIvzhwB5Dz3jzzvx/view?usp=drivesdk' target='_blank'>Ramona </a>,Community,San Diego,CA,2018,1,0,3.11,CWPP
Real East,<a href='https://drive.google.com/file/d/1RDXjFpT2h842RqQKqCSi7lXj5nX-EWx1/view?usp=drivesdk' target='_blank'>Real East </a>,County,San Diego,CA,2018,1,0,103.92,CWPP
Red Rock Ranch,<a href='https://drive.google.com/file/d/1g-4nTnbW_fvUnSxmCCQus3qW2wpOaOuA/view?usp=drivesdk' target='_blank'>Red Rock Ranch </a>,Community,El Paso,CO,2018,0,0,0.29,CWPP
Salem City,<a href='https://drive.google.com/file/d/12cfils-WQfC45mD7LhJ4NhZLkdX0o4_D/view?usp=drivesdk' target='_blank'>Salem City</a>,Community,Utah,UT,2018,0,0,23.86,CWPP
Sangres Foothills,<a href='https://drive.google.com/file/d/1Inu5ivkRPqaK2hTz6BEerb7BRfhgR7uI/view?usp=drivesdk' target='_blank'>Sangres Foothills </a>,Community,Custer,CO,2018,0,1,403.52,CWPP
Santa Cruz,<a href='https://drive.google.com/file/d/12sq5uaL4IDLiui3NIlXvWTFgKIaRwrtJ/view?usp=drivesdk' target='_blank'>Santa Cruz </a>,County,Santa Cruz,AZ,2018,0,1,3206.7,"US Census Bureau, 2018 Cartographic Boundary Files"
Santa Cruz - San Mateo,<a href='https://drive.google.com/file/d/1mwqbLMnY4wMLaYCsaVxE9Ob8bkcVScZH/view?usp=drivesdk' target='_blank'>Santa Cruz - San Mateo </a>,County,"Santa Cruz, San Mateo",CA,2018,1,0,3083.03,CWPP
Scripps Ranch,<a href='https://drive.google.com/file/d/1_x6p7WUvL4Zdqv0KNAL4e-1Pj13u5LFh/view?usp=drivesdk' target='_blank'>Scripps Ranch </a>,Community,San Diego,CA,2018,1,0,24.8,CWPP
Shasta Trinity,<a href='https://drive.google.com/file/d/1D6_aw-RIc9xZBQM1ajTQZDKt_ZL5Vx2l/view?usp=drivesdk' target='_blank'>Shasta Trinity</a>,Fire Protection District,"Shasta, Trinity",CA,2018,1,0,16220.59,CWPP
Sheridan,<a href='https://drive.google.com/file/d/1_BokfCQKvl-7z34qMJ3l_0t_th18DpmM/view?usp=drivesdk' target='_blank'>Sheridan </a>,County,Sheridan,WY,2018,1,1,6557.1,"US Census Bureau, 2018 Cartographic Boundary Files"
Spanish Fork,<a href='https://drive.google.com/file/d/1xDqYBd3nz0Ld1v5O1TKJ1YiPaTbJfO8a/view?usp=drivesdk' target='_blank'>Spanish Fork</a>,Community,Utah,UT,2018,0,0,49.38,CWPP
Sunol,<a href='https://drive.google.com/file/d/1WZm8_dHHuQ9Jrr7OgpYN-SE_gbTiypZI/view?usp=drivesdk' target='_blank'>Sunol </a>,Community,Alameda,CA,2018,0,0,72.13,"US Census Bureau, 2016 TIGER Place"
Upper Deschutes River,<a href='https://drive.google.com/file/d/1SfIXt8SCR4TQCW4hnIN9NJX0CQ7QI-RP/view?usp=drivesdk' target='_blank'>Upper Deschutes River </a>,Community,Deschutes,OR,2018,0,0,278.82,Oregon Spatial Data Library
Upper Mark West Watershed,<a href='https://drive.google.com/file/d/1VFiDhCIeC6LRcSM9l0ENoC2fCPOUhRFK/view?usp=drivesdk' target='_blank'>Upper Mark West Watershed</a>,Community,Sonoma,CA,2018,0,0,46.15,CWPP
Weston,<a href='https://drive.google.com/file/d/1Lzqv66h03Yb1_x-6C4MEMZR4uLcbWY8N/view?usp=drivesdk' target='_blank'>Weston </a>,County,Weston,WY,2018,1,0,6215.94,"US Census Bureau, 2018 Cartographic Boundary Files"
Yavapai,<a href='https://drive.google.com/file/d/1Db5ccmh6G0Im_kv0oVlicwlF5-JGBc6F/view?usp=drivesdk' target='_blank'>Yavapai </a>,Community,Yavapai,AZ,2018,1,0,3918.58,CWPP
Calaveras,<a href='https://drive.google.com/file/d/1ZnDmSb7idgTOR5tzXfEia_2Israh3gcK/view?usp=drivesdk' target='_blank'>Calaveras </a>,County,Calaveras,CA,2017,0,0,2685.63,"US Census Bureau, 2018 Cartographic Boundary Files"
Cherokee Meadows,<a href='https://drive.google.com/file/d/1fCJe6lkzEBxhit7qBsaqxnhEN_izFXEF/view?usp=drivesdk' target='_blank'>Cherokee Meadows </a>,Community,Larimer,CO,2017,1,0,939.72,Colorado Forest Atlas
Clackamas,<a href='https://drive.google.com/file/d/1YzVNd8MDD5NIkGNDcXEeCEO6rx6ccqDK/view?usp=drivesdk' target='_blank'>Clackamas </a>,County,Clackamas,OR,2017,1,0,4868,Oregon Spatial Data Library
Crook,<a href='https://drive.google.com/file/d/135N4yA0Xl4D782orRss1JnbqxbcZt74j/view?usp=drivesdk' target='_blank'>Crook </a>,County,Crook,OR,2017,1,0,7737.06,Oregon Spatial Data Library
Douglas,<a href='https://drive.google.com/file/d/1aikDn3kCK3GIC-k9i_DHrDYofiYjTDgo/view?usp=drivesdk' target='_blank'>Douglas </a>,County,Douglas,OR,2017,0,0,13130.86,Oregon Spatial Data Library
